Known Planet Name,X,Y,RA,Dec,Rand. Dist.,Region,Sector,Grid,Link,technicalId,Source : http://www.swgalaxymap.com/,url,title,is_character,side_bar,paragraph,crosslinks,Empire,Rebel
Agamar,2186.09,6295.72,0.08731149778,24.58681617,383000096,Outer Rim,Lahara Sector,M5,http://starwars.wikia.com/wiki/Agamar,848.0,,https://starwars.fandom.com/wiki/Agamar,Agamar,False,"{'Astrographical information': {'Region': 'Outer Rim Territories', 'System': 'Agamar system', 'Grid coordinates': 'M-5'}, 'Physical information': {'Atmosphere': 'Breathable', 'Climate': 'Cold', 'Primary terrain': 'Rocky', 'Points of interest': 'DH-Omni Support Vessel wreckage'}, 'Societal information': {'Immigrated species': 'Human', 'Affiliation': 'Confederacy of Independent Systems'}}","Agamar was a barren, rocky planet located in the Agamar system within the Outer Rim Territories of the galaxy in grid coordinates M-5. During the Clone Wars, Separatist General Kalani was ordered by Count Dooku to retreat from Onderon to Agamar following the Separatist defeat on Onderon. Later during the Galactic Civil War against the Galactic Empire, the rebel cell known as the Spectres confronted Kalani on Agamar, eventually teaming up to defeat the Empire, a mutual opponent.
","['Onderonian_Civil_War', 'Onderon', 'Agamar_garrison', 'Agamar_system', 'Temperature', 'Atmosphere', 'Galactic_Empire', 'Standard_Galactic_Grid', 'Planet', 'Clone_Captain', 'Mission_to_Agamar_(2_BBY)', 'Izak_Anzio', 'Separatist_holdouts', 'The_galaxy', 'Lasat', 'Sheathipede-class_transport_shuttle', 'Imperial_Academy', 'Unidentified_DH-Omni_Support_Vessel_(Agamar)', 'Sexes', 'Kanan_Jarrus', 'Ezra_Bridger', 'Rex', '20_BBY', 'Outer_Rim_Territories', 'Human', 'Spectres', 'Dooku', 'Canon', 'B1-series_battle_droid', 'Droid', 'Kalani', 'Phoenix_Cell', 'General', 'Standard_year', 'Confederacy_of_Independent_Systems', 'Onderon_rebels', 'Count', 'Proton_bomb', 'Clone_Wars', 'Galactic_Civil_War', 'Garazeb_Orrelios', 'C1-10P', 'Imperial_Era']",1,1
Ahakista,-458.24,9225.62,0.0873378701,24.58725448,382999778,Outer Rim,Myto Sector,K3,http://starwars.wikia.com/wiki/Ahakista,687.0,,https://starwars.fandom.com/wiki/Ahakista,Ahakista,False,"{'General information': {'Location': 'Ahakista system', 'Points of interest': 'Daystar Casino'}}","Ahakista was a location in the Ahakista system where the Daystar Casino was built. The Dug gambler Gronson Takkaro, who at one point worked as operations manager of the casino, fell into large amounts of debt on Ahakista and fled to the planet Lothal. The bounty hunter Bossk tracked Takkaro down to Lothal in order to capture him and bring him back to Ahakista to claim a bounty placed on the Dug.
","['Ahakista_system', 'Gambling', 'Bounty_hunter', 'Daystar_Casino', 'Planet', 'Dug', 'Casino', 'Canon', 'Lothal', 'Bounty', 'Gronson_Takkaro', 'Bossk']",0,0
Ahch-To,-9774.08,-5568.55,0.08743077842,24.58504131,382999400,Unknown Regions,Sector,E13,http://starwars.wikia.com/wiki/Ahch-To,2131.0,,https://starwars.fandom.com/wiki/Ahch-To,Ahch-To,False,"{'Astrographical information': {'Region': 'Unknown Regions', 'System': 'Ahch-To system', 'Suns': '2', 'Moons': '1'}, 'Physical information': {'Atmosphere': 'Breathable', 'Primary terrain': ['Oceans', 'Rocky islands'], 'Surface water': 'Oceans', 'Points of interest': 'Temple island', 'Flora': ['Fern', 'Grass', 'Moss', 'Nightkelp', 'Uneti tree'], 'Fauna': ['Ahch-Tonian grub', 'Billfish', 'Coppergrin', 'Fingerlip garpon', 'Frondtrailer', 'Needlegawp', 'Pallaskean', 'Porg', 'Scalefin fish', 'Spetan channelfish', 'Thala-siren', 'Twinfin hyacander', 'Tytahuso fish', 'Unidentified creature', 'Unidentified fish', 'Wharlithan']}, 'Societal information': {'Native species': 'Lanai', 'Immigrated species': 'Human', 'Primary language(s)': ""Lanai's language"", 'Demonym': 'Ahch-Tonian', 'Affiliation': 'Jedi Order'}}","Ahch-To was a planet mostly covered in water, with numerous rocky islands blanketed with green trees located in the Unknown Regions. It was the birthplace of the Jedi Order and held the ancient Jedi texts. Three decades after the Galactic Civil War, it served as the home of Jedi Master Luke Skywalker who went into exile seeking the first Jedi Temple after his temple and his Jedi students were destroyed by Kylo Ren. After the Resistance pieced together two map fragments to reveal Skywalker's location, Rey traveled to Ahch-To in the Millennium Falcon accompanied by R2-D2 and Chewbacca, in search of him.
","['Scalefin_fish', 'Bird', 'Hyperspace', 'Jedi_star_compass', 'Porg', 'Supraluminite', 'The_Force', 'Palpatine_family', 'Throne_of_the_Sith', 'Chewbacca', 'T-65B_X-wing_starfighter', 'Jedi', 'Great_Jedi_Purge', 'Jedi_Order', 'Frondtrailer', '35_ABY', 'Unidentified_fish_(Opah-bladder_bagpipes)', 'Realspace', 'Kylo_Ren%27s_TIE_whisper', 'Water', 'Scavenger', 'Spetan_channelfish', 'Time', 'Han_Solo', 'DS-1_Death_Star_Mobile_Battle_Station', 'Rey_Skywalker', 'Standard_year', 'First_Jedi_Temple', 'Pallaskean', 'Scholar', 'Imperial_Era', 'Unknown_Regions', 'Unidentified_Ahch-To_sea_creature', 'Planet', 'Moss', 'Destruction_of_the_Jedi_Temple', 'Coppergrin', 'Twinfin_hyacander', 'Standard_decade', 'Grass', 'Commander', 'Homeworld', 'Yoda', 'Exile_(punishment)', 'Jedha', 'Sever_Force', 'Starfighter', 'Map_to_Skywalker', 'First_Order', 'Tree', 'Lor_San_Tekka', 'Species', 'Ahch-Tonian_grub', 'Padawan', 'Ahch-To_system', 'Jakku', 'Mission_to_Kef_Bir', 'Cold_War', 'Color', 'Needlegawp', 'Lodestone', 'Tytahuso_fish', 'Nightkelp', 'Exegol', 'Force_projection', 'BB-8', 'Lanai%27s_language', 'Thala-siren', 'Force-sensitive', 'Force_spirit', 'Fingerlip_garpon', 'Luke_Skywalker', 'Millennium_Falcon', 'Human', 'Jedi_Temple_of_Luke_Skywalker', 'Anakin_Skywalker', 'Plasma', 'Poe_Dameron', 'Wayfinder', 'Red_Five_(X-wing_starfighter)', 'Wharlithan', 'Fern', 'Atmosphere', 'Galactic_Empire', 'Pillio', 'X-wing_starfighter', 'Dark_side_of_the_Force', 'Coruscant', 'Ocean', 'Sacred_Jedi_texts', 'Emperor%27s_Observatory', 'Leia_Skywalker_Organa_Solo', 'Crait', 'C-3PO', 'Billfish', 'Stone', 'Tython', 'R2-D2', 'Lanai', 'Ben_Solo', 'Astromech_droid', 'Battle_of_Crait', 'Jedi_Master', 'Resistance', 'Canon', 'General', 'Galactic_Civil_War', 'Ossus', 'Darth_Sidious', 'Temple_island', 'Uneti_tree', 'Death']",0,1
Ailon,3881.86,-3652.6,0.08729458561,24.58532793,383000323,Inner Rim,,N12,http://starwars.wikia.com/wiki/Ailon,1293.0,,https://starwars.fandom.com/wiki/Ailon,Ailon,False,"{'Astrographical information': {'Region': 'Inner Rim', 'Grid coordinates': 'N-12'}}","Ailon was an astronomical object located in the galaxy's Inner Rim.
","['Inner_Rim', 'Standard_Galactic_Grid', 'Canon', 'The_galaxy']",0,0
Akrit'tar,13357.13,1007.39,0.08720008726,24.58602505,382999573,Outer Rim,Calaron Sector,T9,http://starwars.wikia.com/wiki/Akrit'tar,943.0,,https://starwars.fandom.com/wiki/Akrit%27tar,Akrit'tar,False,"{'Astrographical information': {'Region': 'Outer Rim Territories', 'Grid coordinates': 'T-9'}}","Akrit'tar was an astronomical object located in the galaxy's Outer Rim Territories.
","['Outer_Rim_Territories', 'Standard_Galactic_Grid', 'Canon', 'The_galaxy']",0,0
Akuria,2016.7,7323.89,0.08731318714,24.58696998,382999786,Outer Rim,Oplovis Sector,M5,http://starwars.wikia.com/wiki/Akuria,851.0,,https://starwars.fandom.com/wiki/Akuria,Akuria,False,"{'Astrographical information': {'Region': 'Outer Rim Territories', 'Grid coordinates': 'M-5'}, 'Societal information': {'Affiliation': 'Alliance to Restore the Republic '}}","Akuria was an astronomical object located in the galaxy's Outer Rim Territories, not far from the planet Dantooine, that was a suspected base of rebel operations. Akuria and several other locations were identified in a 3 ABY Imperial Security Bureau report that generated targets for Viper probe droid surveys by cross-referencing areas with a high degree of suspicious activity with the unsettled parts of the galaxy favored by the rebels.
","['Dantooine', 'Alliance_to_Restore_the_Republic', '3_ABY', 'Standard_year', 'Viper_probe_droid', 'Outer_Rim_Territories', 'Standard_Galactic_Grid', 'Canon', 'Imperial_Security_Bureau', 'Carbonite', 'Han_Solo', 'The_galaxy']",0,1
Alakatha,2090.93,-9888.95,0.08731244683,24.58439499,383000146,Mid Rim,Var Hagen Sector,M16,http://starwars.wikia.com/wiki/Alakatha,1712.0,,https://starwars.fandom.com/wiki/Alakatha,Alakatha,False,"{'Physical information': {'Class': 'Terrestrial', 'Primary terrain': 'Beaches'}}","Alakatha was a terrestrial astronomical object known for its beaches. Several weeks after the Battle of Endor, while playing the game Who? What? Where? with other New Republic pilots aboard the frigate Hellion's Dare, the pilot Rep Boy claimed that he wished to live until old age and die of heatstroke on the beaches of Alakatha. However, Rep Boy's wish was not fulfilled, as he was killed shortly afterwards by the forces of the Galactic Empire's 204th Imperial Fighter Wing during an attack on the Hellion's Dare.
","['New_Republic_pilot', 'Battle_of_Endor', 'Death', 'Beach', 'New_Republic', 'Sexes', 'Galactic_Empire', 'Who%3F_What%3F_Where%3F', 'Rep_Boy', '204th_Imperial_Fighter_Wing', 'Canon', 'EF76_Nebulon-B_escort_frigate', 'Hellion%27s_Dare', 'Pilot', 'Standard_week', 'Attack_on_the_Hellion%27s_Dare']",1,0
Alderaan,1942.44,-89.52,0.08731392774,24.58586096,383000188,Core,,M10,http://starwars.wikia.com/wiki/Alderaan,129.0,,https://starwars.fandom.com/wiki/Alderaan,Alderaan,False,"{'Astrographical information': {'Region': 'Core Worlds', 'Sector': 'Alderaan sector', 'System': 'Alderaan system', 'Suns': ""1: Alderaan's sun"", 'Moons': '0', 'Grid coordinates': 'M-10', 'Trade routes': 'Commenor Run', 'Rotation period': '18 standard hours', 'Orbital period': '364 standard days'}, 'Physical information': {'Class': 'Terrestrial', 'Diameter': ['12', '500 kilometers'], 'Atmosphere': 'Breathable', 'Primary terrain': ['Forests', 'Mountainous', 'Plains'], 'Points of interest': ['Appenza Peak', 'Cloudshape Falls', 'Glarus Lagoons', 'Istabith Falls', 'Isatabith rain forest', 'River Wuitho', 'Royal Palace of Alderaan', 'University of Alderaan'], 'Flora': ['Chinar tree', 'Conifer', 'Starblossom', 'Starflower'], 'Fauna': ['Alderaanian wolf-cat', 'Nerf', 'Snow owl', 'Thranta', 'Unidentified bird']}, 'Societal information': {'Immigrated species': 'Human', 'Primary language(s)': ['Galactic Basic'], 'Government': 'Monarchy', 'Population': ['2 billion', '95% humans', '5% other'], 'Demonym': 'Alderaanian', 'Major cities': ['Aldera', 'Crevasse City', 'Sanctuary Coast', 'Unidentified city'], 'Major imports': ['Electronics', 'Manufactured goods'], 'Major exports': ['Art', 'Luxury goods', 'Wine'], 'Affiliation': ['Elder Houses', 'House of Organa', 'Galactic Republic', 'Galactic Empire', 'Alliance to Restore the Republic']}}","Alderaan, located in the Core Worlds, was a terrestrial planet covered with mountains. During the waning decades of the Galactic Republic, it was ruled by Queen Breha Organa and represented in the Galactic Senate by her husband, Senator Bail Prestor Organa.
","['Star_system', 'Chalmun%27s_Spaceport_Cantina', 'City', 'Datascreen', 'Alderaanian', 'Galactic_Republic', 'Bounty_hunter', 'Alliance_to_Restore_the_Republic', 'Proclamation_of_the_New_Order', 'Superlaser', 'Mining', 'Zygerrian_News', 'Jedi', 'Nash_Windrider', 'Trios', 'Realspace', 'Consort', 'Mountain', 'First_Chairman', 'Water', 'Ghost', 'Lothal', 'Time', 'Scarif', 'EG-86', 'DS-1_Death_Star_Mobile_Battle_Station', 'Safe_world', 'Crevasse_City_(Alderaan)', 'Standard_year', 'Count', 'Governor', 'Chinar_tree', 'Trade_Federation', '19_BBY', 'Forest', 'King', 'Cloning', 'Separatist_Crisis', 'The_Rebel_Files', 'Planet', 'Tantive_IV', 'Utapau', 'Istabith_Falls', 'Supreme_Chancellor', 'Kamino', 'Standard_decade', 'The_galaxy', 'Royal_Palace_of_Alderaan', 'Democracy', 'Emerald_wine', 'Ahsoka_Tano', 'Grass', 'New_Republic', 'Grand_Moff', 'Snow_owl', 'Garel', 'Commenor_Run', 'Ziro_Desilijic_Tiure', 'Alderaanian_monarchy', 'Alderaan_sector', 'Unidentified_Alderaan_city', 'Starfighter', 'Isatabith_rain_forest', 'Phoenix_Cell', 'Monarch_of_Shu-Torun', 'Viceroy', 'Alderaan%27s_sun', 'Clone_Wars', 'Thranta', 'Starblossom', 'Battle_station', 'Capital', 'Padawan', 'Loyalist_Committee', 'Imperial_Senate', 'Standard_hour', 'Alderaan_Refugee_Conference', 'Reproduction', 'Mos_Eisley', 'Mon_Mothma', 'Sphyrna-class_Hammerhead_corvette', 'Unidentified_white-winged_bird', 'Nerf', 'Core_Worlds', 'Standard_Galactic_Grid', 'Wilhuff_Tarkin', 'Standard_day', 'Alderaanian_wolf-cat', 'Senator', 'Color', 'Evaan_Verlaine', 'Grand_Army_of_the_Republic', 'Monarchy', 'House_of_Organa', 'Cloudshape_Falls', 'Alderaan_Flotilla', 'Asteroid_field', 'Minister_of_Education', 'Padm%C3%A9_Amidala', 'Colonies', 'Human', 'Outer_Rim_Territories', 'Elder_Houses', 'Dooku', 'Spectres', 'Ryder_Azadi', 'Glarus_Lagoons', 'Anakin_Skywalker', 'Galactic_Senate', 'Starflower', 'Assassin', 'Battle_of_Scarif', 'Battle_of_Kadavo', 'Alderaan_system', 'University_of_Alderaan', 'Conifer', 'Ransolm_Casterfo', 'Invasion_of_Naboo', '5_ABY', 'Alderaanian_Graveyard', 'Galactic_Basic', 'Breha_Organa', 'Atmosphere', 'Galactic_Empire', 'Wine', 'Coruscant', 'Bail_Antilles', 'Hutt', 'Leia_Skywalker_Organa_Solo', 'Prince', 'Tantive_III', 'River_Wuitho', 'Chandrila', 'Sanctuary_Coast', 'Battle_of_Yavin', 'Aurra_Sing', 'Dantooine', 'Shu-Torun', 'Crime_lord', 'Kilometer', 'Finis_Valorum', 'Naboo_system', 'Imperial_Navy', 'Aldera', 'Republic_Judiciary_Central_Detention_Center', 'Battle_of_Garel', 'Appenza_Peak', 'Mirrorbright_(song)', 'Grape', 'Cloud_City', '0_BBY', 'Bespin', '3_BBY', 'Moon', 'Mission_to_Shu-Torun', 'Level_3204', 'Mission_on_Lothal', 'Canon', 'Yavin_Prime', 'The_Disaster', 'Confederacy_of_Independent_Systems', 'Synthstone', 'Sith_Lord', 'Toniray', 'Galactic_Civil_War', 'Darth_Sidious', 'Mission_to_rescue_the_survivors_of_Alderaan', 'Tatooine']",0,0
Aldraig,1572.1,-298.0,0.0873176212,24.58582977,383000053,Core,,M10,http://starwars.wikia.com/wiki/Aldraig,128.0,,https://starwars.fandom.com/wiki/Aldraig,Aldraig,False,"{'General information': {'Location': ['Alderaan sector', 'Core Worlds']}}","Aldraig was an astronomical object in the Alderaan sector of the Core Worlds. During the early rebellion against the Galactic Empire, Senator Bail Organa of the Imperial Senate attempted to cover up a theft of a UT-60D transport shipment by having an Aldraig data clerk mistakenly route a shipment of U-wings to Coruscant through Baylagon.
","['Baylagon', 'Alliance_to_Restore_the_Republic', 'Alderaan_sector', 'Core_Worlds', 'Early_rebellion_against_the_Galactic_Empire', 'support_craft', 'Galactic_Empire', 'Chief_Investigator', 'Axvering', 'Pilot', 'Transport', 'Senator', 'Imperial_Senate', 'Coruscant', 'Canon', 'Imperial_Security_Bureau']",1,1
Aleen,2812.43,-5437.76,0.0873052512,24.58506087,383000534,Inner Rim,,M13,http://starwars.wikia.com/wiki/Aleen,1247.0,,https://starwars.fandom.com/wiki/Aleen,Aleen,False,"{'Astrographical information': {'Region': 'Mid Rim', 'Sector': 'Bright Jewel sector', 'System': 'Aleen system', 'Moons': '1: Trohlu', 'Trade routes': ['Celanon Spur', 'Entralla Route'], 'Rotation period': '31 hours', 'Orbital period': '399 days'}, 'Physical information': {'Atmosphere': ['Dual atmosphere', 'Surface: Breathable', 'Underworld: Non-oxygen'], 'Climate': 'Temperate', 'Primary terrain': ['Surface:Rocky mesas and buttes', 'Desert plains', 'Isolated forests', 'Underworld:Geological and arboreal root caverns', 'Luminescent vegetation groves'], 'Surface water': 'Shallow seas', 'Points of interest': ['Underworld', 'Aleena village', 'Jedi chapter house', 'Great Seal'], 'Flora': 'Arbozoic tree', 'Fauna': ['Bogwing', 'Can-cell', 'Firefly']}, 'Societal information': {'Native species': ['Aleena', 'Kindalo'], 'Primary language(s)': ['Aleena', 'Kindalo', 'Galactic Basic'], 'Government': ['Surface: Monarchy', 'Underworld: Anarchical consensus'], 'Population': ['At least 18', '000', '000', '99% Aleena', '1% other', 'Underworld: Unknow'], 'Major cities': 'None major', 'Major imports': 'None', 'Major exports': 'None', 'Affiliation': ['Galactic Republic', 'Jedi Order']}}","Aleen was a rocky planet located within the Bright Jewel sector, of the galaxy's Mid Rim. It was home to the diminutive, surface-dwelling Aleena species, and a bioluminescent tree-like species, the Kindalo. At one point in their history, the two species clashed which almost resulted in the destruction of all sentient life on the planet. During the Clone Wars, the Galactic Republic arrived to help the Aleena rebuild after a series of devastating groundquakes.
","['Galactic_Basic', 'Duros', 'Oxygen', 'Arbozoic_tree', 'Temperature', 'Groundquake', 'Atmosphere', 'Aleena_(language)', 'Celanon_Spur', 'Kindalo', 'Planet', 'Standard_day', 'Great_Seal', 'Galactic_Empire', 'Aleena_monarchy', 'Mission_to_Aleen', 'Galactic_Republic', 'The_galaxy', 'Bogwing', 'Kindalo_(language)', 'C-3PO', 'Desert', 'Proclamation_of_the_New_Order', 'Magma', 'Galaxy', 'Homeworld', 'R2-D2', 'Firefly', 'Priest', 'Jedi', 'Millennium', 'Jedi_Order', 'Wolfpack', 'Moon', 'Aleena', 'Water', 'Trohlu_observation_post', 'Aleena%E2%80%94Kindalo_treaty', 'Canon', 'Can-cell', 'Droid', 'Tahiko', 'Time', 'Plant', 'Sentience', 'Trohlu_listening_station', 'Tree', 'Aleena%E2%80%94Kindalo_war', 'Species', 'Jedi_chapter_house_(Aleen)', 'King_of_Aleen', 'Warthog', 'Clone_Wars', 'Spacer', 'Bright_Jewel_sector', 'Aleen_system', 'Aleen_Underworld', 'Forest', 'Trohlu', 'Cave', 'Standard_hour', 'Orphne', 'Mid_Rim']",0,0
